case_id,variant,dataset_type,defect_categories,expected_decision,predicted_decision,contract_valid,parse_error,latency_seconds,input_tokens,output_tokens
e1-question_answer-01,base,question_answer,valid_records,accept,invalid,False,NOT_EXACT_JSON_OBJECT,0.8982698852196336,244,37
e1-question_answer-02,base,question_answer,valid_records,accept,invalid,False,NOT_EXACT_JSON_OBJECT,0.7125650178641081,244,37
e1-question_answer-03,base,question_answer,valid_records,accept,invalid,False,NOT_EXACT_JSON_OBJECT,0.7138664266094565,244,37
e1-question_answer-04,base,question_answer,valid_records,accept,invalid,False,NOT_EXACT_JSON_OBJECT,0.7159368842840195,244,37
e1-question_answer-05,base,question_answer,valid_records,accept,invalid,False,NOT_EXACT_JSON_OBJECT,0.7133296569809318,244,37
e1-question_answer-06,base,question_answer,valid_records,accept,invalid,False,NOT_EXACT_JSON_OBJECT,0.7190801408141851,244,37
e1-question_answer-07,base,question_answer,valid_records,accept,invalid,False,NOT_EXACT_JSON_OBJECT,0.7168792122974992,244,37
e1-question_answer-08,base,question_answer,invalid_records|missing_fields|repairable_defects,revise,invalid,False,NOT_EXACT_JSON_OBJECT,0.8288131793960929,239,43
e1-question_answer-09,base,question_answer,invalid_records|extra_forbidden_fields|repairable_defects,revise,invalid,False,NOT_EXACT_JSON_OBJECT,0.7145918654277921,250,37
e1-question_answer-10,base,question_answer,invalid_records|wrong_field_types|repairable_defects,revise,invalid,False,NOT_EXACT_JSON_OBJECT,0.7156220134347677,245,37
e1-question_answer-11,base,question_answer,invalid_records|invalid_labels_or_enums|repairable_defects,revise,invalid,False,NOT_EXACT_JSON_OBJECT,1.598137654364109,261,84
e1-question_answer-12,base,question_answer,invalid_records|empty_values|vague_or_low_value_content|repairable_defects,revise,invalid,False,NOT_EXACT_JSON_OBJECT,0.6993871508166194,241,36
e1-question_answer-13,base,question_answer,invalid_records|malformed_json|repairable_defects,revise,invalid,False,NOT_EXACT_JSON_OBJECT,1.617007214576006,247,85
e1-question_answer-14,base,question_answer,invalid_records|near_duplicates|repairable_defects,revise,invalid,False,NOT_EXACT_JSON_OBJECT,0.8891747361049056,268,46
e1-question_answer-15,base,question_answer,invalid_records|unsupported_claims|non_repairable_defects,reject,invalid,False,NOT_EXACT_JSON_OBJECT,1.6686104368418455,261,88
e1-question_answer-16,base,question_answer,invalid_records|subtle_grounding_errors|contradictions|non_repairable_defects,reject,invalid,False,NOT_EXACT_JSON_OBJECT,1.2527163829654455,244,65
e1-question_answer-17,base,question_answer,invalid_records|duplicates|answer_leakage|non_repairable_defects,reject,invalid,False,NOT_EXACT_JSON_OBJECT,0.7470923587679863,268,38
e1-question_answer-18,base,question_answer,invalid_records|prompt_injection|critic_override|non_repairable_defects,reject,invalid,False,NOT_EXACT_JSON_OBJECT,1.4451012313365936,252,76
e1-question_answer-19,base,question_answer,invalid_records|malicious_source_content|critic_override|non_repairable_defects,reject,invalid,False,NOT_EXACT_JSON_OBJECT,1.7749371780082583,266,93
